department_code,course_number,course_name
ACCT,2051,"Introduction to Financial Reporting"
ACCT,3001,"Strategic Management Accounting"
AEM,2021,"Statics and Dynamics"
AEM,3031,"Deformable Body Mechanics"
ANAT,3001,"Human Anatomy"
ANTH,1001,"Human Evolution"
APEC,1101,"Principles of Microeconomics"
APEC,1102,"Principles of Macroeconomics"
ASL,1701,"American Sign Language I"
ASL,1702,"American Sign Language II"
AST,1001,"Exploring the Universe"
BA,1011,"Leading Self & Teams"
BA,2005,"Business Ethics, Corporate Responsibility & Sustainability"
BA,2551,"Business Statistics in R"
BIOC,2011,"Biochemistry for the Agricultural and Health Sciences"
BIOC,3022,"Biochemistry for Life Scientists"
BIOL,1805,"Nature of Life: Introducing New Students to the Biological Sciences"
BIOL,1806,"Nature of Life, Part Two"
BIOL,1807,"Nature of Life Part III"
BIOL,3004,"Foundations of Biology for Biological Sciences Majors, Part II Laboratory"
BMEN,2101,"Biomedical Thermodynamics and Kinetics"
BMEN,2151,"Prototyping for Biomedical Engineers"
BMEN,2401,"Programming for Biomedical Engineers"
BMEN,2501,"Cellular and Molecular Biology for Biomedical Engineers"
CHEM,1015,"Introductory Chemistry: Lecture"
CHEM,1017,"Introductory Chemistry: Laboratory"
CHEM,1071,"General Chemistry I for Physical Scientists and Engineers"
CHEM,1072,"General Chemistry II for Physical Scientists and Engineers"
CHEM,1081,"Chemistry for the Life Sciences I"
CHEM,1082,"Chemistry for the Life Sciences II"
CHEM,1086,"Chemistry for the Life Sciences II Laboratory"
CHEM,2081,"Chemistry for the Life Sciences III"
CHEM,2085,"Chemistry for the Life Sciences III Laboratory"
CHEM,2302,"Organic Chemistry II"
CHEM,2311,"Organic Lab"
CHEN,2001,"Material and Energy Balances"
CHEN,3101,"Chemical Engineering Thermodynamics"
COMM,1101,"Introduction to Public Speaking"
COMM,1313W,"Analysis of Argument"
COMM,3211,"Introduction to Media Studies"
COMM,3401,"Introduction to Communication Theory"
CPSY,2301,"Introduction to Developmental Psychology"
CSCI,1113,"Introduction to C/C++ Programming for Scientists and Engineers"
CSCI,1913,"Introduction to Algorithms, Data Structures, and Program Development"
CSCI,2033,"Elementary Computational Linear Algebra"
CSE,1012,"Project-based Inquiry"
ECON,1165,"Business Economics"
ECON,3011,"Intermediate Microeconomics I"
ECON,3023,"Intermediate Macroeconomics I"
ECON,3101,"Intermediate Microeconomics"
ECON,3102,"Intermediate Macroeconomics"
EE,1301,"Introduction to Computing Systems"
EE,2015,"Signals, Circuits and Electronics"
EE,2115,"Analog and Digital Electronics"
EE,2301,"Introduction to Digital System Design"
EE,2361,"Introduction to Microcontrollers"
ENGL,1001W,"Introduction to Literature: Poetry, Drama, Narrative"
ESCI,1001,"Earth and Its Environments"
ESPM,1011,"Issues in the Environment"
FINA,3001,"Finance Fundamentals"
FREN,1001,"Beginning French I"
FREN,1002,"Beginning French II"
FREN,1003,"Intermediate French I"
FREN,1004,"Intermediate French II"
FSCN,1112,"Principles of Nutrition"
GCD,3022,"Genetics"
GEOG,1301W,"Our Globalizing World"
GER,1001,"Beginning German"
GER,1002,"Beginning German"
GER,1003,"Intermediate German"
GER,1004,"Intermediate German"
HIST,1301W,"Authority and Rebellion: American History to 1865"
HRIR,3021,"Human Capital Management"
IDSC,3001,"Information Systems & Digital Transformation"
JOUR,1001,"Media in a Changing World"
JPN,1011,"Beginning Japanese I"
MATH,1031,"College Algebra and Probability"
MATH,1051,"Precalculus I"
MATH,1142,"Short Calculus"
MATH,1151,"Precalculus II"
MATH,1241,"Calculus and Dynamical Systems in Biology"
MATH,2142,"Elementary Linear Algebra"
MATS,2001,"Introduction to the Science of Engineering Materials"
MATS,3011,"Introduction to Materials Science and Engineering"
ME,2011,"Introduction to Engineering"
ME,3331,"Thermodynamics"
MGMT,3004,"Strategic Management"
MKTG,3001,"Principles of Marketing"
MUS,1013,"Rock I: The Historical Origins and Development of Rock Music to 1970"
NURS,2001,"Human Growth and Development: A Life Span Approach"
PHIL,1001,"Introduction to Logic"
PHIL,1002W,"Introduction to Philosophy"
PHSL,3051,"Human Physiology"
PHYS,1101W,"Introductory College Physics I"
PHYS,1102W,"Introductory College Physics II"
PHYS,1221,"Introductory Physics for Life Science Majors I"
PHYS,1222,"Introductory Physics for Life Science Majors II"
PHYS,2201,"Introductory Thermodynamics and Statistical Physics"
PHYS,2503,"Introductory Physics for Science and Engineering III"
PHYS,2601,"Quantum Physics"
POL,1001,"American Democracy in a Changing World"
POL,1025,"Global Politics"
POL,1201,"Political Ideas"
POL,3835,"International Relations"
PSY,3001W,"Introduction to Research Methods"
PSY,3051,"Introduction to Cognitive Psychology"
PSY,3801,"Introduction to Psychological Measurement and Data Analysis"
SCO,3001,"Sustainable Supply Chain and Operations"
SOC,1001,"Introduction to Sociology"
SOC,3701,"Social Theory"
SOC,3801,"Sociological Research Methods"
SPAN,1001,"Beginning Spanish"
SPAN,1002,"Beginning Spanish"
SPAN,1003,"Intermediate Spanish"
SPAN,1004,"Intermediate Spanish"
STAT,3021,"Introduction to Probability and Statistics"
STAT,3022,"Data Analysis"
STAT,3032,"Regression and Correlated Data"
VBS,2032,"General Microbiology With Laboratory"
WRIT,3562W,"Technical and Professional Writing"
